Timestamp	463452521	463468055	463482429	463491298	463492926	463505503	463519959	463528155	463534847	463551574	463557473	463564955	463579960	463588061	463594989	463611207	463612794	463625604	463640006	463648153	463654909	463671251	463672782	463685571	463692450	463708197	463715016	463731222	463732777	463744888	463753820	463768073	463774798	463791298	463792798	463804929	463813785	463829603	463834912	463851219	463852815	463865024	463873797	463888137	463894930	463911291	463912905	463924965	463933913	463948140	463955018	463970646	463977448	463984904	463993799	464008176	464014929	464030514	464037363	464044922	464053816	464068067	464074956	464090643	464097380	464104948	464114024	464128085	464134867	464158594	464160257	464173621	464175221	464187985	464194783	464209865	464217282	464240487	464241241	464248779	464254804	464269761	464277732	464293028	464293731	464308766	464314723	464329743	464337263	464352927	464353727	464368878	464374767	464389778	464397284	464412930	464413730	464428779	464434777	464449931	464457342	464472877	464473693	464491217	464495156	464509755	464517392	464532939	464533691	464550626	464554845	464569731	464577217	464593052	464593713	464608756	464614730	464629833	464637427	464653064	464653857	464668814	464674843	464689747	464697398	464712915	464713719	464728790	464734764	464749782	464757293	464772878	464773748	464788833	464794811	464809865	464817274	464832886	464833661	464848712	464855120	464869743	464877246	464892892	464893693	464908732	464914725	464929745	464937218	464952330	464961769	464968705	464974743	464989698	464997195	465012217	465028564	465030207	465034716	465049718	465057216	465072285	465079727	465095457	465096510	465109779	465117393	465132391	465139749	465155379	465156162	465169727	465177234	465192236	465199732	465215409	465216209	465229755	465237267	465252213	465259706	465275402	465276193	465289731	465297229	465312223	465319747	465335415	465336187	465349766	465357250	465372206	465379710	465395378	465396163	465409748	465417239	465432253	465439724	465455415	465456188	465469713	465477215
Sensor 0	1	-1	-2	6	-7	4	-9	-1	4	-3	0	-1	2	2	-1	-7	-1	11	-1	-4	5	0	4	-1	19	-3	-14	-12	5	4	-12	15	-18	4	-3	5	-9	2	10	2	-14	-10	10	-13	-4	-6	-14	2	-10	-16	24	-17	25	10	3	-16	2	25	-14	16	-11	26	-18	-44	40	33	-1	-23	-7	-70	-43	38	5	54	21	-9	18	23	0	29	-47	26	72	-25	-20	10	-22	-30	-42	-1	-25	-1	-59	-26	3	-13	-13	39	33	-11	18	-2	21	2	15	44	-40	4	1	-11	5	-52	-15	14	3	-30	27	-3	-6	10	-8	-9	7	-31	-16	22	13	-10	7	6	-4	19	-17	-16	2	11	9	26	19	-31	-16	11	11	13	-10	-8	-36	-7	0	3	43	12	-4	-6	-3	-39	-16	6	0	3	-22	-2	3	-1	-2	-6	-59	28	37	25	-2	-14	3	-3	0	-6	22	-25	-9	10	19	-8	7	7	-1	26	2	-4	-1	-5	-16	-12	8	-9	-9	10	13	-19	1	14	-23	-21	-2
Sensor 1	18	-7	-1	7	-11	4	14	-11	6	-1	-9	-1	4	2	-10	11	-3	-5	3	10	18	-10	-14	-5	1	-3	-28	-20	-2	10	2	3	-22	8	-9	17	-9	7	25	7	9	-33	-16	-37	-38	-33	-81	18	-2	-2	-15	-35	114	58	61	-1	31	55	1	22	29	93	17	-5	24	-43	-114	-83	-2	-81	-17	55	-37	9	59	-33	-26	-3	5	35	-95	13	83	-7	13	20	-66	-35	31	-1	27	13	-53	12	-4	-11	-66	53	26	4	42	-29	15	21	-5	62	-50	-3	7	-59	16	-16	-69	-37	0	-11	-1	26	24	15	-1	8	49	64	9	-62	80	-7	-3	-15	-35	-12	-29	-23	10	30	-45	28	55	-69	0	-2	50	32	-18	2	-14	-22	-25	1	-2	-47	-55	10	46	53	21	11	-8	-10	-28	-13	17	38	13	-31	-68	9	30	14	-11	-21	16	4	-6	22	-23	-61	10	-11	38	-4	-20	-4	7	6	-1	88	-2	-32	8	-9	-30	-45	4	-8	-17	-1	21	24	-63	-19	33
Sensor 2	1	-8	-6	2	3	-2	-1	-4	-21	0	-4	-2	9	0	4	-13	2	-1	4	-2	4	0	-11	0	-1	6	2	1	-1	7	3	2	-12	7	2	-1	-7	2	15	-3	-14	-6	-4	-21	-22	-16	-17	10	-12	-13	-17	-14	51	31	30	-33	-31	21	-90	55	67	-59	-30	70	49	-111	-96	5	95	-107	-20	127	-97	-11	-39	37	124	-71	-122	91	-113	-23	68	-128	-87	-92	86	-67	71	3	33	-55	-45	55	7	107	-50	77	-9	39	-36	-13	-25	-74	22	18	-20	63	27	-62	88	-83	-34	-103	-1	-55	24	66	-83	54	-25	55	-8	67	28	-9	90	-77	98	22	-56	-51	-24	7	-74	-63	35	-9	55	11	-36	19	70	-115	-35	20	-29	-53	-13	11	-10	15	-8	33	71	14	-22	36	-92	-62	-49	-90	-6	51	12	38	11	11	-23	-32	-52	30	30	-31	-5	122	-34	-59	20	-27	57	-16	-37	112	-9	-80	9	71	-33	-73	-11	2	-87	-23	10	1	-2	5	25	-86	-22	-16	-3
Sensor 3	1	-3	-4	-10	7	0	1	-9	-1	-1	-5	-7	0	0	2	-7	-1	-2	-1	-6	11	3	-9	3	0	2	-1	-1	-2	3	2	4	-4	2	-1	-5	-2	2	-2	-1	-11	-9	-7	-5	0	-2	-11	3	-5	-9	13	3	25	16	-8	4	-28	-39	-110	73	17	-36	-13	123	60	-128	-72	-8	27	-79	-19	126	20	-30	10	41	94	-48	-53	96	-53	-61	-40	-58	-122	-29	7	-28	53	-30	36	-40	16	38	27	-8	2	51	-11	16	11	-11	-13	-38	-60	19	-35	9	23	-9	111	-49	-3	-17	-3	-28	-27	18	-5	-13	-23	15	-6	20	26	27	3	-37	59	17	-46	-9	-8	-26	-24	-8	17	-11	57	3	-14	-15	46	-38	-19	24	26	-20	-10	9	12	-3	-35	23	33	-11	-45	17	-124	-32	-3	-43	14	16	-4	-10	-25	35	7	-31	-3	58	4	-11	13	85	-11	-55	40	-18	66	-1	-20	46	-19	-14	-10	40	-3	-37	-24	-20	-21	-22	-3	14	3	-9	8	-21	-32	-10	17
Sensor 4	0	-2	-2	-3	-2	-2	-1	-3	3	-2	1	-2	1	-2	1	-2	-2	-2	-5	1	0	1	-2	-1	0	-1	-3	-2	-1	1	-2	1	-1	0	1	-2	-1	-3	-3	2	3	-10	-2	-4	-1	2	-11	1	0	-11	11	21	3	15	1	27	-12	-4	-5	10	-20	-8	-11	2	39	-55	-33	-14	8	-6	9	48	13	11	10	27	22	-25	-1	9	-30	-14	-13	-14	-35	-22	6	4	-11	-5	15	-12	9	27	20	-12	-8	2	-4	1	4	-10	-1	-6	-2	1	-8	1	-3	-6	25	-18	-3	10	-8	-11	-6	6	-11	-3	-3	12	9	13	7	7	5	-15	10	-5	-16	-13	-10	-9	-9	-5	2	-1	14	-13	-5	-8	10	-1	-9	2	7	-5	7	-2	0	5	-3	3	-1	2	-30	7	-32	3	1	-3	20	-3	1	-22	0	17	1	-1	0	5	0	-2	1	29	2	-9	-5	-7	34	1	-12	5	-8	-7	-10	13	-1	-2	-6	-7	-6	-12	-6	-1	-1	-1	9	2	-9	0	11
Sensor 5	0	-2	1	1	0	1	-2	-4	4	0	0	-3	0	-2	1	0	-1	-1	-2	-1	-3	2	-1	1	-1	4	-28	-6	9	3	0	5	-4	-4	13	-5	5	2	-6	3	-4	-8	5	-24	1	8	9	-2	9	1	42	-2	-10	52	-70	27	20	0	82	-21	-93	20	-21	-36	64	24	-95	-12	65	42	73	-4	16	-22	-19	7	-48	-6	5	46	12	-6	-55	-23	-2	-61	33	54	-98	2	37	-42	8	14	47	-53	-6	-11	-53	4	19	-32	21	18	47	2	-3	8	10	-25	-7	-32	-53	53	19	-5	18	1	-38	12	10	0	40	53	-6	8	2	-18	10	0	-35	-65	-24	-6	-12	2	-1	-23	35	-9	-8	3	-47	-6	6	-28	-87	22	54	-7	-19	29	28	-2	20	11	-26	14	-10	-5	29	-17	39	8	-33	-63	21	26	-3	12	9	31	-1	0	5	35	-1	-2	-38	-15	72	13	-44	-1	35	-15	-15	30	7	13	3	-17	-10	-7	-15	-20	-15	-5	25	6	-14	0	43
Sensor 6	-2	-2	4	2	-3	0	0	-1	0	-1	-1	-1	-3	0	-1	-2	0	-2	-2	0	-2	1	0	-3	-2	-9	1	0	-2	1	0	1	-1	1	-2	0	8	14	-5	-2	-2	-9	-3	-53	-6	0	10	7	-24	-31	23	35	-32	-57	-8	-50	95	-39	-73	59	34	106	-58	38	58	-41	-83	-4	14	64	60	-21	-20	-42	4	3	25	-30	-40	13	22	8	80	-52	-42	1	-15	-35	32	14	-21	19	-43	-26	33	4	-11	11	-4	7	89	-5	-52	69	-86	-9	1	-22	-14	26	-31	-29	-31	40	10	-30	35	-8	-24	-17	7	-11	14	-77	17	7	-14	28	9	62	-31	38	-22	-9	19	-35	4	10	20	-47	9	6	-10	-24	13	28	53	-10	15	5	71	-5	-40	-1	-49	-16	-15	17	-65	-4	-4	-39	69	5	0	17	-59	-34	-18	15	-7	14	42	5	9	0	-25	-3	-1	-2	27	-10	30	0	23	-6	-9	5	-20	3	3	-20	10	8	-11	-4	-10	6	-23	18	-20	-3	4
Sensor 7	2	-1	0	1	-2	1	-3	1	2	0	-2	-3	1	0	-2	-1	0	1	0	-1	-2	-1	1	-5	0	-3	-2	-1	0	2	-3	3	-4	-2	0	-2	-3	0	-1	3	-1	-5	-1	-3	1	2	3	1	3	-3	20	-6	2	-56	-18	-7	29	17	-11	17	-27	29	-8	-17	32	20	-34	-3	-30	-21	33	21	-7	46	8	-5	3	-7	-7	2	-6	14	50	-17	-20	-7	-35	-19	-2	-6	-14	12	-30	-1	18	10	12	6	13	-12	40	-11	13	7	-35	-3	-18	-19	-8	1	-19	-5	-11	3	5	-19	8	11	3	6	30	-10	18	-14	10	1	-9	6	-33	15	-8	-3	-20	-33	-6	13	4	4	30	-25	13	-3	17	10	-6	-36	2	-1	26	7	73	14	-28	2	-39	4	-34	25	-36	3	-10	-3	2	15	9	-5	-35	-16	6	9	-8	-51	8	-5	3	-13	13	8	-8	19	29	0	-3	15	-11	1	-16	-15	-6	11	-22	4	-5	-1	2	-11	0	0	-3	14	10	-9	1
