timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
395802572015,0,-6,-3,-4,-2,-2,-1,1
395802580936,1,0,-2,0,-2,-1,-1,0
395802580936,-2,3,1,-2,1,-1,0,-1
395802603447,-2,-1,3,1,-3,-2,-1,-3
395802603447,-2,0,4,1,-4,-1,0,-1
395802604966,1,-3,-6,-4,1,-2,0,-1
395802604966,-1,2,-1,-4,-4,-3,-1,1
395802618411,-7,-21,-4,2,2,0,-1,-3
395802618411,3,7,-1,-1,-2,-1,-2,0
395802620084,2,-10,-2,1,2,-2,-1,1
395802620084,-3,-8,8,1,-5,-2,0,-1
395802632942,0,8,-3,-2,-1,-1,-1,0
395802632942,-3,1,-4,-2,0,1,-1,-2
395802639638,3,-8,-7,-3,-3,-1,0,-1
395802639638,1,-12,-1,7,3,1,2,2
395802655194,-2,8,-3,-3,-1,0,-2,-3
395802655194,-4,-9,2,-1,-1,-2,-2,-2
395802661963,1,6,-1,-5,-1,0,-2,-1
395802661963,-1,1,-4,-3,-4,-3,0,0
395802678576,-9,-4,0,0,1,-2,-2,-5
395802678576,2,0,-1,-3,0,1,-1,-1
395802679974,-4,0,-1,-2,-3,-1,-1,-3
395802679974,-2,2,1,2,4,-2,-2,-1
395802692817,2,7,0,-1,-1,0,-1,1
395802692817,-7,-6,-2,-3,-2,-1,-1,-6
395802699583,2,3,0,1,-2,-1,-1,-1
395802699583,-1,17,-10,-5,-2,0,1,1
395802715324,0,-12,7,-1,-2,0,-1,1
395802715324,-3,-12,3,2,-1,-1,-3,-2
395802722130,-3,14,-6,-7,-6,-3,-2,-1
395802722130,2,2,-3,-2,-1,2,0,0
395802738512,0,5,-2,-2,-1,-3,0,-3
395802738512,5,0,-7,-2,-2,-1,-1,-1
395802740048,-5,-14,-2,5,1,0,0,-1
395802740048,0,2,5,-5,-3,-2,-2,0
395802752161,4,6,-5,-3,-4,-2,-2,3
395802752161,-4,-11,10,-2,0,-3,0,-1
395802760974,-2,8,-4,1,-1,-2,0,-1
395802760974,-2,-12,-9,1,0,0,0,-1
395802775381,-4,-3,-2,-1,0,-1,-1,0
395802775381,5,-10,-3,-1,-3,-1,-2,1
395802782155,3,12,2,-1,0,-2,-3,-1
