Timestamp	495919536	495934437	495935160	495948705	495956157	495971191	495979425	495994494	495995111	496008782	496016071	496031366	496039338	496054391	496055060	496068589	496076251	496091220	496099382	496114322	496115047	496128786	496136273	496151272	496159486	496173589	496181750	496188639	496196185	496211316	496219289	496233643	496242000	496248619	496264501	496271224	496279440	496295047	496301867	496308805	496316187	496331203	496339366	496353732	496361945	496376742	496377699	496391203	496399266	496413612	496421914	496436888	496437542	496451283	496459419	496473649	496481938	496496912	496497564	496511243	496519261	496533712	496541963	496556830	496557655	496571219	496579304	496593628	496602028	496616733	496617535	496631372	496639390	496653777	496661987	496678141	496678987	496691267	496699427	496713603	496721916	496736899	496737730	496751363	496759261	496773702	496781966	496796982	496797560	496811349	496819431	496833731	496841751	496856151	496865053	496871125	496880151	496893707	496910078	496916082	496925204	496931228	496940225	496953592	496962517	496976192	496985144	496999972	497001693	497013725	497023217	497036247	497045082	497051042	497060067	497073660	497082570	497096122	497105105	497111167	497120038	497133633	497142649	497156224	497165097	497171190	497180186	497193664	497202553	497216233	497225798	497231177	497240069	497253718	497262609	497276065	497285037	497291057	497300181	497313654	497322536	497336247	497345186	497359975	497361601	497373521	497382706	497396074	497405094	497419907	497421501	497433665	497442687	497456059	497465094	497479901	497481557	497493634	497502542	497516156	497525082	497540067	497541672	497553833	497562656	497576284	497585022	497600109	497601683	497613762	497622740	497636031	497645069	497660090	497661509	497673575	497682570	497696079	497705048	497719924	497721539	497742557	497744131	497756312	497765066	497779856	497781569	497793733	497802559	497816096	497825056	497840078	497841737	497853755	497862532	497876219	497885308	497900036	497901513	497913760	497922504	497936107	497945056
Sensor 0	-5	0	-1	-1	0	1	-1	-2	-6	-1	-1	-2	0	6	-18	-9	5	-2	0	2	0	3	0	-1	10	-1	-9	-1	0	3	1	1	-5	0	10	-5	-11	-1	-17	-1	-4	8	1	2	7	-5	4	-6	14	-2	-3	-40	-6	38	-17	-7	25	-8	-12	-3	-17	1	-5	0	8	20	-5	17	7	-33	9	5	-13	0	-1	-2	-15	1	11	-26	19	28	-15	-14	20	4	-57	-48	20	36	34	12	18	10	2	-21	14	-10	3	0	-15	23	12	-9	-7	-18	4	0	20	-4	1	7	2	-18	-1	12	-15	2	18	-15	8	5	-12	-4	-14	-3	-4	0	-10	1	16	-6	-13	5	-6	-6	-4	0	-4	-9	-19	-5	12	-4	2	0	2	8	4	11	-6	-5	20	6	2	10	7	-8	-6	-8	-21	-12	1	-3	10	5	-17	0	-2	6	-15	-2	4	-11	-11	8	-11	-15	23	-20	6	13	-3	-13	-8	-29	-9	20	6	5	-1	6	-17	-8	-7	12	-11	0	2	4	21	9	13
Sensor 1	-47	-1	8	-5	8	0	3	-4	-2	2	12	6	-6	8	1	-9	8	0	-8	-3	-9	0	3	-6	10	0	-11	3	2	-2	-5	2	-7	2	9	-8	-25	12	-1	-7	11	-3	-12	5	0	27	-1	-19	25	-2	-28	-18	20	48	-26	-18	35	-18	-24	-52	-17	29	4	-1	-3	-26	12	17	-9	31	45	7	9	-10	-57	-60	-8	7	8	-13	25	0	0	-16	19	-28	10	35	-32	66	26	-26	-36	14	-51	-2	-3	-3	-1	5	-11	-22	8	-4	9	-12	43	35	6	24	-4	3	62	-21	-21	2	-23	3	-23	21	11	-3	-8	-16	-9	11	24	27	16	-10	10	-16	-16	-5	-34	-19	19	-83	-4	28	0	-30	6	-14	-40	-7	9	19	-18	39	-27	21	61	15	19	-42	-27	10	-1	0	-3	-8	-17	4	6	-19	8	16	-14	12	37	11	46	11	-64	-32	34	-9	7	40	-11	-1	1	-1	-16	-20	1	40	10	-29	24	-10	-14	32	29	29	-7	-60	9	-41	-59	-14	3
Sensor 2	-6	-9	3	-1	-2	0	0	0	-1	4	-2	13	2	-3	-5	-2	1	-2	-2	-6	-1	-9	4	-3	7	-5	-11	5	-1	-3	-1	-1	9	4	2	-4	-6	7	-2	-10	-5	1	0	0	0	8	-10	13	22	13	-4	15	-5	51	-14	-25	-23	-61	-10	-37	-9	98	-53	-54	40	-27	9	2	-32	28	114	-32	38	60	-37	-21	-15	-19	2	28	-9	-11	-9	-105	-13	-26	13	-12	-37	48	-97	-14	-6	91	-10	-14	-1	-56	31	-18	3	6	-26	-8	51	-4	17	17	-12	-3	-3	-11	52	-30	82	4	-24	42	-28	38	10	68	-3	-46	-14	-9	-37	10	-9	-23	11	-17	43	-28	-2	-2	9	-55	34	-59	-1	36	-14	-72	-38	-15	-35	22	-3	63	-35	74	36	-5	10	2	-70	-26	-38	-5	40	-16	-8	41	3	-27	46	14	15	13	22	35	-18	-30	-8	-25	48	-55	-18	1	-26	59	3	46	19	0	-28	59	-17	-42	38	-10	-36	-6	-20	6	-32	-11	6	-14	-8	-44	19
Sensor 3	-2	-5	0	-4	-1	-2	2	-6	2	-2	0	7	13	-4	-12	1	-3	-5	0	-2	-3	-6	3	-10	-3	1	1	0	0	1	-3	-3	-1	3	12	-6	-6	0	-5	-5	-7	1	7	-3	-8	9	-19	-8	12	2	13	10	-15	6	-16	1	-18	-45	26	-2	-2	2	-15	-1	31	-7	-13	7	-26	16	73	-17	-40	25	13	-2	-9	-13	8	2	-19	22	-9	-78	0	-34	-14	15	0	35	-44	32	14	34	-2	-12	-10	-29	22	-24	2	13	-5	0	1	-1	3	1	-33	-20	14	9	9	-5	32	-5	-11	18	-5	38	20	20	0	-21	-8	-7	-13	-7	7	-8	6	15	-1	-21	-12	0	8	-4	18	-16	21	-8	-13	-14	-16	-7	-13	4	1	11	4	14	27	-2	-12	-8	-25	-5	-11	-14	-1	5	-12	8	2	0	13	-5	39	2	-13	49	-10	-10	17	-11	-10	-11	-17	14	-3	11	-5	-5	8	-8	-15	19	6	-24	17	1	-19	-6	-5	-12	-29	20	5	-19	3	-14	5
Sensor 4	-3	-1	0	-2	-1	-1	-1	-3	1	-3	-1	3	-2	-3	-2	-2	-3	-2	-2	0	-2	-2	1	-6	-4	-2	0	0	0	2	-2	-2	-2	3	3	-4	-2	-1	-2	-1	-2	-2	1	-2	-4	4	-6	-3	2	0	8	0	-6	2	-6	2	1	-11	0	0	-8	-16	18	-13	11	-1	-17	9	-10	7	5	-2	-16	6	2	-8	2	-11	-8	2	-9	0	1	-26	2	6	-12	29	2	-4	-4	17	18	-10	2	1	-11	-2	9	-10	-3	6	-2	0	-4	-5	1	3	-12	-5	6	0	0	-7	10	5	1	10	-10	11	12	-4	-5	-5	-8	3	5	-11	5	-2	-2	-7	3	-8	-6	9	4	0	1	2	1	-12	-5	-2	-1	-6	-5	5	7	3	2	6	-4	6	-1	-3	-8	-5	2	-6	-2	-3	-19	-5	3	1	6	-2	3	2	1	-4	4	2	-6	-1	-16	5	4	-1	2	7	-1	1	4	-5	-2	-1	1	-5	3	13	-11	-11	14	-7	-4	2	-6	0	-6	1	9
Sensor 5	-2	1	-3	1	1	-3	-2	-1	2	-1	-2	1	-3	-1	-2	-1	-1	-1	-1	1	-1	-2	1	-3	-3	-2	-2	0	-2	-1	-1	-2	-1	0	-10	-1	5	-2	1	0	0	1	-1	-3	0	2	-5	-2	-15	-4	16	-1	-20	12	57	20	45	-14	-31	35	-39	-38	123	-26	30	-11	-33	-21	23	5	-24	-16	-93	-2	-63	-3	27	-14	-29	13	-31	-34	35	-17	26	86	-32	35	-7	-5	8	15	88	-11	7	-18	-20	51	1	-22	-2	27	-18	20	-8	-44	-40	18	-1	-25	-3	-9	7	6	-18	17	8	-5	-72	20	45	-25	12	-7	-12	10	15	-23	12	-3	-3	-13	4	-19	2	30	-5	-35	12	18	-9	-11	-12	9	32	-22	-3	13	-11	3	14	26	-19	19	33	-8	13	-7	-20	-8	9	-20	-73	-9	23	-2	12	-10	-28	-22	9	-96	-25	-5	-46	20	-27	40	59	18	-20	28	4	-11	15	-29	22	22	-9	10	15	67	-22	-39	47	1	-13	8	-20	-20	-39	15	49
Sensor 6	-1	0	-1	1	-2	-1	-1	-4	-1	-2	-1	2	-2	-2	-2	-1	-2	0	1	1	-1	0	0	-3	-1	-1	-2	-2	-3	-1	-1	0	0	1	5	-8	-3	-1	-1	-1	1	0	-3	1	-2	0	2	-2	-1	-3	-13	3	-22	-1	3	-17	-42	-19	-19	13	6	52	-32	38	37	-7	-29	-54	7	-46	41	2	29	-27	-52	0	59	30	1	-2	-34	63	-10	-57	-2	32	29	25	-4	-35	41	-5	-37	-25	-22	4	27	112	-19	-38	5	-33	-10	13	-17	32	10	21	13	-20	6	9	26	-30	28	11	7	-37	6	7	0	-11	-23	-31	-29	33	-11	-18	-7	-25	-12	15	-14	5	12	-10	16	-7	-28	-10	7	-16	5	4	30	0	-14	-6	-3	6	-5	24	9	-5	58	6	16	1	-20	-22	-12	-11	18	-8	-88	22	6	-20	3	6	16	-32	-47	-23	-8	3	26	25	59	1	-6	17	-7	7	-27	11	-19	-8	-5	5	8	20	23	-33	13	-4	0	20	-3	-14	46	35	24
Sensor 7	-2	-1	-1	-1	-1	-2	-1	-3	0	1	-1	-2	-3	-2	-4	-2	-2	0	-1	0	-1	0	0	-3	0	-1	-1	0	0	1	-2	-1	-1	0	2	-1	-2	1	-1	0	-1	-2	0	-2	1	-1	-1	0	0	-1	-2	-2	-13	23	-10	-18	24	-32	-7	0	20	19	-12	25	12	10	-56	-44	28	-14	-12	0	-9	10	-11	15	14	12	23	-34	9	-22	-46	16	5	-9	19	33	-15	6	20	4	-14	-11	0	-1	6	-4	-8	-8	2	-3	13	6	-12	-7	-5	4	12	8	9	5	4	-22	0	27	-17	14	14	-31	4	3	-19	-6	-12	5	-5	-17	14	3	30	-14	-24	0	8	-6	4	4	13	6	-9	-8	6	-8	-5	-11	-40	19	9	0	-18	18	-7	35	15	-3	1	4	-1	-15	15	-20	-28	-16	-3	4	2	-10	20	-4	-64	-9	17	-16	5	52	18	7	28	-17	46	-5	1	5	-26	-3	-15	18	-10	-4	-9	-4	-5	-19	-18	-3	3	4	4	-5	11	-19	-13
