Timestamp	487716856	487728921	487736558	487751583	487759681	487766566	487773912	487789061	487796419	487811536	487819590	487826537	487842312	487848905	487856466	487871609	487879758	487894693	487895349	487909036	487916414	487931537	487939689	487954610	487955329	487968933	487976433	487991567	487999553	488014585	488015375	488029052	488036597	488051519	488059738	488074724	488075413	488090378	488096642	488111506	488119751	488142882	488143707	488149105	488156420	488171380	488179660	488194676	488195432	488208865	488216438	488231379	488239607	488254654	488255382	488269013	488284715	488291473	488299837	488314666	488315479	488328987	488336369	488351537	488359637	488374725	488375391	488388976	488396514	488411495	488419723	488434784	488435345	488449036	488456397	488471384	488479696	488494650	488495459	488508947	488516449	488531493	488539581	488554625	488555333	488568839	488576325	488591559	488599743	488614052	488622233	488629002	488644668	488651521	488659636	488674040	488682257	488688878	488696402	488711531	488719566	488733880	488742123	488757561	488758288	488771485	488779990	488795325	488802258	488817128	488817827	488831477	488839677	488854002	488862231	488877204	488877812	488891397	488899600	488914037	488922341	488937001	488937780	488952828	488959540	488973865	488982129	488997085	488997930	489011360	489019542	489042746	489043521	489056993	489057804	489071339	489079601	489093850	489102064	489116974	489117833	489131345	489139569	489153867	489162042	489185199	489186008	489191540	489199525	489213866	489222038	489237022	489237803	489251356	489259542	489273856	489282016	489297132	489297916	489311343	489319511	489333872	489342213	489357030	489357795	489371478	489379675	489393953	489402258	489417106	489417872	489431540	489439651	489453907	489462244	489477133	489477810	489491332	489499966	489513910	489522047	489536503	489544628	489551413	489559556	489573983	489589654	489596319	489605346	489611505	489620408	489633969	489642973	489656387	489665368	489671318	489680375	489694002	489702954	489716544	489725455	489747846	489749322
Sensor 0	3	2	-2	-2	-2	0	2	0	-1	-24	-1	3	-3	3	2	4	-2	-1	10	2	4	6	-1	-8	-5	1	0	5	0	-1	-16	2	-4	-5	6	2	0	-3	-3	0	8	-2	14	-3	-5	0	-5	-1	-3	2	-5	9	-8	2	-4	1	0	-8	2	-4	-4	0	-5	17	4	-10	-7	-10	-8	5	7	5	-16	-3	-6	-1	1	2	5	-12	9	-6	-5	-2	-27	10	16	-11	-16	2	5	-6	11	6	3	19	-14	-5	0	-9	10	8	-2	-9	-9	-12	19	-55	-12	-10	2	26	2	-10	-65	0	40	44	26	21	-9	0	2	-49	-34	13	10	-7	39	18	15	-37	-7	7	-2	16	14	17	-38	4	10	14	16	-21	-1	-4	2	-4	2	-5	-1	6	-9	-3	-23	-5	-14	1	15	16	-2	-19	8	27	5	3	-10	6	-11	-15	-18	-11	13	-40	5	2	6	13	10	-19	-18	6	-11	-5	6	16	-6	-7	24	-11	4	2	24	-3	-7	4	-11	-2	0	-8	-7	2	-9
Sensor 1	4	-4	0	-1	-4	6	-10	7	-11	-21	3	11	18	2	2	-1	-4	-5	-1	2	-5	2	-1	-5	4	0	-6	11	3	0	1	-4	-10	-4	2	-3	0	0	-5	3	1	-2	-1	-3	-6	4	-5	10	7	-8	-2	-3	-2	7	1	0	4	-7	1	-9	9	2	-12	2	2	-31	-11	12	5	15	7	7	-41	-3	-2	-1	-14	-3	9	-45	29	12	-5	-8	-14	5	46	35	-10	15	-10	25	37	25	-4	-64	-47	-17	-85	-21	95	20	-59	-53	-45	4	51	-40	17	9	13	53	92	-29	-20	60	-6	-14	4	26	-61	-11	-59	-12	-49	16	7	31	18	11	44	-86	59	56	5	-21	43	65	-77	20	16	-12	-1	28	15	4	11	-58	-51	19	8	7	20	23	-3	-58	-14	26	22	23	7	-59	-20	-35	33	-14	-7	24	-61	-6	-75	-13	39	18	28	10	-6	11	-24	-79	-36	26	20	7	8	-3	23	11	49	0	1	-6	54	-25	-15	12	-43	-2	8	-18	-28	46	11
Sensor 2	1	-3	0	1	-3	-4	-8	8	2	-11	-6	1	3	3	0	-5	2	-8	5	-2	-4	3	-2	2	-1	-3	-3	4	-9	0	-13	-5	1	2	4	-2	5	0	1	-1	-4	-6	2	-5	3	-4	-2	1	2	-2	-3	4	-5	1	-4	2	7	-16	2	-6	-1	7	-5	-4	-2	-4	2	14	-24	3	9	4	0	-6	-7	-1	-4	0	5	-21	24	-5	3	-19	17	2	42	26	-14	10	-33	-5	4	-18	22	35	-11	32	-66	-72	-34	-53	-48	-10	-46	36	76	-47	30	34	21	22	78	-27	-26	51	-19	71	7	-36	3	-83	26	22	-104	-43	4	34	49	-9	19	-33	1	127	-48	-34	39	25	-54	-3	16	11	-56	-34	-31	42	-8	-44	19	0	44	3	-35	-21	-55	-38	-6	17	59	5	-15	-68	92	41	-4	64	-12	7	19	-35	-71	16	24	-23	13	-21	-8	10	-46	-67	-23	8	22	-2	-4	-1	22	39	46	-31	-29	13	-28	-2	-52	12	-6	7	29	-54	-65	35	16
Sensor 3	2	1	-6	5	-1	-4	-4	-2	1	3	1	-2	-3	1	-1	1	1	-8	11	-2	-5	3	-3	-4	0	1	-2	8	-4	-7	-7	-7	0	-1	-1	1	-2	2	-1	-1	-2	-8	3	-2	3	8	-5	-5	0	-3	-5	5	-5	-6	-1	1	5	-5	1	-5	5	-3	-4	2	-5	-2	7	2	-14	4	5	-3	0	10	-3	-4	2	-1	2	-8	5	-2	13	-7	-7	-5	28	8	-22	7	-10	-5	-28	-14	26	34	-32	20	-19	-28	-17	-44	4	-8	-17	16	23	-16	12	18	15	15	14	-15	-46	44	-7	25	9	-31	-1	-36	7	7	-18	-40	9	16	56	-11	-7	-4	-4	55	-14	32	20	5	-20	-13	-18	-6	-10	-12	-28	10	-8	-25	11	-4	6	-2	-9	-2	-4	-14	-9	-5	14	-10	4	-7	60	25	-18	10	-4	-2	27	-15	-36	10	-8	-25	3	8	3	15	-31	-11	-6	4	21	0	-8	-11	2	-8	11	-22	2	12	9	-13	-24	15	-6	6	-6	-25	-39	16	12
Sensor 4	0	-3	0	1	-1	-4	-4	-1	-3	0	1	-3	-1	-1	-3	0	-1	-5	5	-2	-1	1	-3	0	-1	0	0	2	1	-3	-3	-1	-3	0	-2	-1	-1	1	-1	0	0	-7	0	0	2	1	-1	-2	-1	-2	-1	1	-2	-2	-2	1	1	-5	0	-3	1	-2	-1	1	-4	0	2	-3	-1	6	-2	-4	0	1	-2	-1	4	1	-2	-2	0	0	-1	-3	2	-7	3	13	-11	-3	3	-4	-32	3	9	9	-7	5	2	-10	-22	-8	10	-7	-3	12	0	-12	4	14	9	15	18	-19	-1	12	0	-33	-3	-7	-4	-5	-2	-5	-6	-9	9	10	22	0	-5	-12	-4	17	-23	6	5	9	-8	1	-14	-5	9	-12	-5	24	-4	-8	-1	-10	-6	3	-2	4	5	-7	-6	-1	-4	2	4	-11	18	9	0	7	-6	-4	11	-4	-7	1	-8	-10	1	3	2	-7	-8	2	-3	1	8	1	-9	-22	0	1	3	0	0	4	10	-7	-8	-2	-6	2	-1	7	-4	0	-1
Sensor 5	-3	-1	0	1	0	-4	-3	-1	-2	-1	-2	-2	-1	-1	-2	-2	-1	-3	2	1	-1	-1	-2	-1	-2	2	-2	2	1	-1	-2	-3	0	0	-2	-4	-1	2	-3	-1	-1	-1	-1	-2	-2	-2	-1	-2	1	-1	0	0	-2	1	1	0	-2	-4	-1	-3	0	1	8	-4	-4	3	5	-26	12	9	5	0	-5	5	-2	3	11	13	-11	1	-8	0	-3	-2	33	17	0	46	-40	-20	-40	24	-45	60	48	-57	14	-24	59	-12	-48	14	-5	-36	13	7	-22	-26	-25	4	14	34	28	-35	3	13	17	-76	3	68	-26	29	0	-30	47	-29	20	5	56	13	-2	-67	-19	4	-67	11	-4	38	-50	-8	13	11	13	-9	2	31	-14	-22	-2	12	-40	13	7	-10	52	-8	-3	5	-9	5	11	-7	-1	-13	6	30	-12	-3	-25	0	16	-1	-8	-34	58	2	-5	5	5	2	2	-4	38	-4	-30	-40	-11	41	-25	30	-18	24	-2	-31	-10	-65	-10	-11	-4	23	16	-1	6
Sensor 6	-2	-1	-1	1	-3	-1	-1	-1	-1	-4	0	-2	-2	-1	0	-2	-1	-1	-2	-1	0	-1	0	1	-1	1	-1	2	-1	-1	0	-3	0	-2	-1	0	-2	-2	-3	-1	-1	0	-2	-1	-1	-1	-1	-1	1	0	0	-1	-1	-1	-2	-1	-2	0	0	-3	0	-1	-3	0	1	-1	0	4	-46	-8	31	-5	-19	15	-1	5	7	5	9	-3	-2	-2	-51	3	23	-17	37	-1	-5	28	-1	-31	124	-67	-54	72	-88	-36	-64	-15	-57	110	43	-27	-19	5	28	-27	-10	-10	-58	32	65	-9	10	-2	2	42	19	-40	4	-2	-13	-13	-2	14	-27	-11	13	26	37	-25	11	-39	14	-11	3	-42	-22	-6	20	0	-34	49	21	-45	15	21	12	11	5	2	-6	2	-7	-10	-14	-3	4	-46	0	3	1	10	3	-5	4	34	-17	0	-30	-2	-18	5	-10	-22	22	1	3	5	-44	5	-36	0	-1	-1	26	7	11	33	6	12	30	-18	13	5	0	-30	3	-10	3	-20	22
Sensor 7	-1	-1	-2	1	-3	-2	-1	-2	-1	-3	-2	-3	-2	0	-1	0	-1	-3	1	-1	0	-1	-1	0	-1	-1	-1	0	0	0	-1	-2	-1	0	-2	1	-2	-1	-3	-2	1	1	1	-1	-3	0	-1	0	-1	-1	-2	1	-2	-1	0	-3	2	-3	-1	-1	-1	-2	-4	1	1	0	-2	-1	-4	8	0	-3	0	-2	-16	3	-2	0	-2	-5	5	-3	1	-2	-3	-6	11	-23	-5	1	4	-13	9	-10	19	12	-17	14	-13	6	1	18	-5	-3	-13	-4	8	-12	-18	1	21	40	5	-18	-6	-12	-7	-35	-3	4	-12	-2	5	-6	-5	23	13	10	2	12	-16	-9	-2	-4	12	-46	-3	-9	-16	0	18	9	2	26	2	-10	6	-5	-3	4	-45	-2	27	-13	-15	11	-5	-6	16	11	10	3	-2	1	6	-2	-2	27	-35	-9	-10	-8	-6	-6	-3	9	5	2	36	-10	-12	-6	-9	-10	-1	6	8	32	22	12	-5	-14	-20	-14	5	4	-8	-13	-48	-8	11	-16	17
