Timestamp	473157066	473172100	473187448	473196610	473197534	473209548	473217004	473231979	473239586	473255155	473256020	473269561	473277093	473292074	473299651	473315293	473315902	473329503	473336909	473353475	473359434	473375336	473375912	473389513	473413349	473414893	473419528	473443283	473444242	473449464	473457061	473471929	473479424	473494524	473502648	473509707	473517085	473533395	473539562	473554604	473570931	473572545	473576946	473600246	473600956	473614572	473622611	473637817	473638418	473660174	473660946	473674665	473690162	473697774	473698415	473712094	473719498	473734494	473742626	473757612	473758431	473772038	473779713	473794616	473802758	473817747	473818490	473832067	473839624	473854421	473862767	473877651	473878400	473892127	473899463	473914592	473922634	473937708	473938489	473952056	473959493	473974537	473982757	473997760	473998497	474012077	474019524	474034581	474050185	474057638	474058488	474072057	474079414	474094551	474102641	474117683	474118561	474133501	474139688	474154538	474162739	474177839	474178424	474192076	474199618	474214432	474222580	474237595	474238491	474252108	474259470	474274437	474282642	474297735	474298477	474311899	474319536	474334500	474342611	474357673	474358508	474372022	474379548	474394393	474402647	474417033	474425257	474432061	474439526	474454577	474462627	474477064	474485354	474492043	474499554	474514654	474522585	474537037	474545222	474552106	474559456	474574567	474582575	474597067	474605257	474620163	474621008	474634410	474642707	474656965	474665283	474680252	474680873	474694396	474702692	474717091	474725263	474740266	474740834	474754499	474762725	474777083	474785250	474800200	474800937	474814362	474822584	474836888	474845328	474860154	474860977	474874407	474882767	474897050	474905207	474920194	474920829	474934369	474942582	474956863	474965112	474980091	474980850	474994370	475002596	475016943	475026709	475040039	475040866	475054521	475062563	475076903	475085866	475099362	475108366	475114385	475123364	475136892	475145845	475159356	475168508	475174401	475184057
Sensor 0	0	1	-2	0	-2	-2	1	-7	1	-3	1	1	-4	-2	3	2	2	0	-4	3	0	-4	-3	4	-1	0	0	-1	2	3	3	-6	4	-1	-6	1	-3	-2	-5	-1	-1	-1	4	-1	-1	1	-1	0	-12	-3	0	2	-5	-1	1	0	-14	-19	11	7	3	14	-2	-1	-3	-8	-6	0	-27	29	11	2	26	25	2	15	-4	-3	-30	-13	3	3	-22	-12	11	20	19	-7	3	-20	-3	-34	-59	-32	23	9	31	21	-84	-77	16	49	48	44	7	6	-4	-15	28	-21	-16	14	-8	24	2	-13	-31	-9	-7	-10	7	-3	6	13	41	5	41	-29	-1	-3	-21	-13	-45	16	-28	-11	29	18	-2	18	-18	-18	-7	-2	9	24	-14	2	8	-27	19	10	11	-28	-2	-3	-31	4	3	-3	-17	31	-12	4	-1	-16	19	0	9	-12	2	-7	-3	3	10	-22	-1	27	-38	-12	13	16	16	-15	9	-9	-28	-14	-14	37	-23	-16	15	-6	8	-16	10	3	-10	-12	10	-14	4
Sensor 1	-1	2	-6	0	-1	-7	5	-19	-11	10	11	25	-26	-14	-2	2	-11	7	-16	-1	8	-5	2	16	3	-8	5	1	13	-4	3	-13	4	1	2	-4	-11	0	-2	1	-17	-17	-5	3	7	4	6	-1	-8	-15	1	-2	0	7	3	21	-23	-16	10	4	15	6	-11	-7	0	-13	-20	-3	-19	14	2	19	30	-6	11	-35	-30	9	23	12	26	32	-68	0	29	46	43	-8	-11	-22	38	-66	-86	-16	13	15	20	39	-20	-39	-42	22	42	-15	-67	0	-24	4	42	-35	-26	64	34	61	17	-57	-55	60	44	-20	31	-17	-22	1	93	-36	9	1	23	-15	-9	-15	-31	-8	-9	-11	20	28	-39	-10	-13	-18	-55	-20	22	30	10	26	-76	10	-41	18	83	0	6	-4	13	0	56	-3	-5	-50	14	-12	-22	15	32	-70	16	5	-29	45	-11	33	-5	-45	-29	28	22	2	43	-15	12	-45	-18	9	-19	20	-35	42	-56	0	-6	-6	-25	29	-35	-12	-1	-39	47	-19	16
Sensor 2	-4	4	-4	2	-5	3	20	-6	-5	3	-3	-8	-15	2	-1	8	-3	2	-3	-3	0	-4	-2	1	4	-2	-1	1	15	8	1	-5	-2	-6	-7	-5	-10	3	-12	-2	-2	0	2	-1	1	4	3	-1	-1	-7	-1	-3	1	-5	-1	-2	-8	-5	2	-2	21	7	0	-1	2	-6	16	-5	-11	27	-10	12	13	-31	-6	-5	-24	-7	4	0	3	15	-36	8	-4	98	39	-58	32	-79	-71	-29	-116	50	85	22	-43	-6	-4	-62	-12	127	36	-8	-30	-85	-18	-45	-43	-55	-10	60	5	90	15	-66	-14	49	67	-45	19	-14	28	-59	96	-24	-6	0	48	-36	-101	16	-11	11	-62	-4	-40	106	-39	-17	25	-46	-15	-28	18	32	61	-12	-64	18	-23	6	64	-46	38	-3	-8	-14	3	69	6	-44	23	5	-50	-21	32	-59	4	7	-30	43	17	10	-10	-5	-45	11	-35	-6	60	14	105	-4	-30	-58	-15	30	-7	0	-78	22	-33	97	-6	19	12	6	14	-68	8	8	-56
Sensor 3	-1	1	-3	-1	-2	3	0	-4	1	2	-1	-4	-8	3	0	4	1	-6	-1	-1	0	0	-2	-1	3	-1	-1	0	4	-1	-1	-2	-3	-4	-3	-2	0	2	-2	-2	-3	-3	-1	2	0	2	1	-1	-4	-2	-1	-3	1	-2	0	-3	3	-2	1	-3	18	6	-7	-4	-3	-6	3	-3	-2	13	-15	-16	7	-15	-7	10	-4	5	-16	-15	27	36	-6	-6	-16	7	48	-14	14	2	-63	-61	-91	34	51	17	-7	-17	4	-31	36	26	44	-1	-23	-41	-11	-18	-46	-8	-15	56	1	52	1	-27	16	14	14	-25	-15	6	30	-56	37	-2	-17	4	11	10	-56	-4	-5	-4	-15	-14	-16	66	-26	7	5	-22	15	-13	7	2	39	-24	-43	19	-15	0	17	-6	20	13	2	-20	-13	50	26	-19	3	1	-49	-22	22	-4	10	2	-1	-11	17	-26	-13	8	-9	7	-21	15	10	14	36	-1	-22	-25	-13	9	11	5	-44	-3	-22	50	9	19	16	-39	6	-23	10	36	-11
Sensor 4	-1	1	-2	-1	-1	1	-2	-2	-3	1	2	-2	-1	1	-1	1	2	-2	0	1	-2	0	-2	0	0	-2	-1	1	0	-1	-4	-3	-4	-3	-3	-2	1	2	-1	-3	0	-2	0	1	-1	0	-2	-2	-2	0	1	-2	1	-4	1	-2	-1	-3	0	1	3	3	-6	-3	-5	-3	0	-1	-3	7	-13	-4	6	-12	-1	9	-3	-10	2	5	36	11	3	17	-16	-9	-3	-4	3	1	-22	-22	-30	27	23	-14	3	-29	-21	1	36	-4	7	-3	6	-13	-2	-18	-26	-10	10	30	-3	19	-12	1	9	-4	-8	5	-3	-4	18	-17	0	0	-6	-3	10	2	-11	-6	-16	7	-7	-4	5	17	-17	1	-1	-20	10	1	-3	1	11	-3	-9	7	-14	0	6	0	-2	1	-16	-5	4	10	8	8	0	3	-3	-17	3	-7	-3	0	5	-3	2	1	-13	1	1	-1	2	-3	8	-2	-10	1	-15	0	-10	-3	6	-1	-13	-2	2	12	5	20	2	-11	-8	-11	0	11	2
Sensor 5	-1	0	-2	-2	-3	0	0	-4	-2	2	0	-3	0	2	-1	4	-1	-3	0	0	-2	-1	-1	-2	-1	0	-2	-1	1	-2	-2	0	-3	-3	-1	-1	0	3	0	-3	0	-1	-2	-1	-3	-3	-1	-2	-1	1	-2	0	2	-3	2	-1	-1	0	2	-1	1	1	-3	1	-20	-24	2	4	-5	18	-63	-16	121	-76	16	36	38	47	-31	85	95	27	-86	15	-43	-69	-44	2	-1	14	-49	-118	21	11	31	-38	12	-50	74	28	26	29	-80	-3	-33	59	31	-58	-40	-14	15	43	21	-22	-34	9	25	5	-31	41	1	16	27	-4	24	43	37	6	15	-22	2	-30	-78	67	-20	-53	18	20	9	-20	18	-73	55	25	2	14	-25	5	-17	9	-6	2	-12	0	2	-6	-66	10	22	-10	-1	80	6	17	2	-27	3	1	2	-8	1	-11	11	-4	3	-54	-19	-4	-9	-10	23	-50	-4	44	2	46	-26	-70	23	0	-15	30	1	12	-34	5	-1	16	-32	9	-36	78	21
Sensor 6	0	-1	-4	-2	-2	0	-3	-1	-4	1	1	-4	-1	-1	-2	0	0	0	1	0	-1	0	-1	0	0	-1	-1	-2	-2	-1	-1	-2	-3	-1	1	-2	0	0	-1	-1	-1	-2	0	0	-1	-1	-1	-3	-3	1	0	1	-2	-3	-1	-2	-1	-2	1	0	-2	0	-2	-1	-3	4	1	-1	-4	-20	12	3	-9	-11	-27	13	-20	40	-17	-18	-27	77	-8	-49	-35	-42	49	28	67	-25	-10	85	-54	-39	53	-29	29	-29	-85	-66	-5	-7	33	-21	3	9	-44	107	30	-26	2	-29	5	21	-57	-23	4	5	-13	-19	87	-24	-13	21	94	23	-29	-21	-36	18	-55	-10	1	-18	3	-5	87	22	-43	28	32	54	-41	-44	44	5	-32	-57	-37	-2	-15	10	7	-1	37	-49	-26	13	-16	0	25	3	-1	37	-34	-2	24	-35	1	7	18	-3	2	0	-19	61	-26	-5	-6	-1	14	18	-16	-2	28	10	14	14	-14	-46	-1	-23	-19	0	83	-20	-12	-12	-39	-16	-7	27	-11
Sensor 7	0	-7	-1	-3	-6	-1	-1	-3	-3	1	4	-1	1	0	-1	-5	-2	1	-1	0	1	-2	0	2	-2	-1	-2	0	-2	0	1	-2	-3	-2	-1	-1	0	0	-1	-2	0	-1	0	-1	-1	0	-2	1	-5	-2	-1	-2	-2	-2	0	0	-3	-3	2	0	-1	2	-2	-2	-2	0	1	-2	-6	-4	15	4	-4	3	-6	-1	-7	16	-16	-15	15	6	-17	-4	11	-6	32	34	-9	-6	-5	-17	-23	-48	23	6	28	6	-40	2	-2	-20	-7	16	3	4	22	38	14	-10	-14	-18	0	19	-64	-8	8	-41	9	22	-7	-8	9	16	27	-7	-15	-9	4	-54	3	13	-12	5	8	-48	-4	25	-21	37	14	6	-11	-13	12	5	13	-3	-1	22	18	-14	-3	-12	3	-8	-9	1	-25	2	7	2	0	14	-4	-15	43	7	24	5	-29	-11	-17	7	-7	7	-11	3	-14	-10	4	5	16	-18	-5	15	-25	-5	3	9	-10	-41	-6	-3	20	4	8	9	-18	6	-17	18	1
