Timestamp	457035497	457049157	457055223	457071572	457077566	457093479	457094039	457109117	457115159	457131655	457137571	457153352	457154102	457169096	457175094	457191673	457197616	457213254	457214149	457229182	457235081	457251578	457257667	457273424	457274011	457289019	457295038	457311604	457317575	457332525	457340071	457349041	457355041	457371543	457377538	457392660	457400164	457417186	457418022	457431595	457437685	457452619	457460133	457477165	457478189	457491587	457497804	457512701	457520159	457535775	457536564	457551606	457557542	457573958	457580256	457597229	457598030	457611553	457617562	457632565	457640066	457655832	457656664	457671508	457677748	457692564	457700034	457715665	457716462	457731544	457737653	457752549	457760049	457775724	457776484	457791511	457805688	457812486	457820121	457835826	457836616	457851570	457857504	457872510	457880000	457895786	457896603	457910141	457917648	457932590	457940049	457955735	457956465	457970120	457977529	457992604	458000164	458015814	458016573	458031537	458037699	458052541	458060015	458075807	458076595	458090041	458097838	458112492	458119981	458135661	458136460	458150161	458157531	458172528	458180010	458195855	458196491	458211517	458217559	458232505	458240050	458255787	458256603	458271623	458277508	458292622	458300212	458315340	458322500	458331656	458337605	458352737	458359998	458375163	458383360	458390074	458397717	458412641	458420029	458435041	458443260	458458175	458459067	458472556	458480083	458495068	458503453	458518302	458518960	458532657	458539990	458555169	458563315	458578316	458579000	458592512	458600162	458615150	458623184	458638208	458638989	458652529	458660003	458675128	458683357	458698372	458699044	458712712	458719972	458735007	458743354	458758125	458758921	458772484	458779973	458795019	458803285	458818248	458819031	458832638	458840179	458855103	458863304	458878327	458878975	458892481	458900111	458915236	458923202	458938334	458938993	458952651	458960083	458976550	458983266	458998310	458999050	459012504	459020133	459035103	459043377	459058290	459058919
Sensor 0	-2	6	1	9	-4	2	1	13	-6	-8	-5	3	-2	0	-1	-4	5	0	4	0	-17	-1	20	9	2	-7	8	5	-13	-7	5	2	-9	7	11	-2	-29	15	-2	-9	-9	-1	34	4	-44	-14	11	8	-7	8	57	-3	5	-14	6	-15	-26	-12	-4	-46	5	13	-2	-10	-7	9	-2	40	-14	-10	-3	-36	0	13	19	12	21	11	-88	-23	-89	-77	64	62	68	36	2	-29	27	-14	25	23	-9	14	16	14	-1	-27	-2	-10	9	-28	3	3	-21	14	-25	0	-24	-6	17	13	4	2	18	-1	6	-22	-24	-40	-10	11	-26	-24	34	-7	5	-5	-14	31	4	-7	34	6	-2	0	18	20	-31	-14	-18	-26	0	-4	-7	36	2	-15	10	-5	-11	3	-9	-9	18	-18	14	-1	8	22	-29	-7	8	11	11	-8	5	-26	-14	15	33	21	7	35	-12	-18	5	0	-26	-9	8	-15	0	-28	-28	16	-12	-17	16	7	-17	12	-25	-6	2	-10	-5	-8	-1	7	12	28	6
Sensor 1	-6	4	-10	0	0	0	7	-1	-2	6	1	-7	-14	1	13	-16	19	6	-5	2	-13	0	-1	20	4	-10	9	8	-62	-19	34	8	-8	34	10	-45	-33	-8	16	37	-9	-48	12	82	-12	-2	61	9	-50	27	100	14	3	17	31	-30	30	-100	-31	-17	-61	-27	46	-35	-60	50	12	-3	-52	51	-10	-1	58	-9	-8	35	-13	-10	-9	21	17	4	-26	-22	11	13	-10	-55	8	-19	6	78	-18	-15	-52	38	43	-106	0	-24	-1	-78	9	42	100	71	-63	14	18	-14	6	55	-30	-20	9	26	22	-74	-27	-57	-52	67	-4	-43	10	41	-11	-13	-69	50	-15	-2	36	-17	19	-4	41	-22	-65	-3	-8	-11	9	7	29	16	-12	21	21	3	-11	12	-1	4	33	33	0	9	0	0	-56	-13	4	-38	-33	0	38	-36	9	8	-14	10	33	15	-9	-22	16	-13	-17	65	40	-23	5	-19	6	-11	-3	-2	-27	5	-7	-4	-19	-7	-74	14	-1	-3	20	51	34	-17	11
Sensor 2	0	7	-2	0	4	1	-1	-7	-2	1	0	12	-6	-11	5	-9	3	1	-6	12	-1	-7	2	6	21	-11	-9	5	-32	-11	24	-15	-13	-11	-26	-13	-22	-14	13	28	-27	-30	20	105	30	-61	81	-21	-45	33	58	86	-121	-31	39	-106	-34	-63	-5	-52	-106	71	82	-40	-72	-15	102	-79	-73	127	-42	-4	-78	79	-66	-82	-10	-37	34	34	-37	67	-32	-77	-22	-42	-25	-38	53	117	18	23	14	-37	89	62	78	-111	-90	-31	-105	-110	11	25	68	123	-4	-46	73	105	-110	-22	-64	-35	75	6	4	-3	-84	-128	-46	-15	12	79	18	71	127	-88	-111	-6	-3	-23	-22	-20	7	-33	41	-7	-44	34	2	-12	34	-32	-2	-31	37	11	-22	32	-39	10	22	-14	62	-29	-31	-14	-34	61	-38	0	68	1	18	-8	5	93	-10	-73	15	-10	-27	20	-25	36	-17	-74	-1	-12	-7	-13	112	0	-49	-44	-3	9	26	17	38	73	-54	-34	-15	-8	21	-12	-25	-14	17	64	-4
Sensor 3	2	-3	-2	-7	2	-2	-1	-1	-2	6	0	13	-4	-4	1	-5	8	-1	-10	6	4	-14	-4	4	14	-9	-4	4	-14	-4	12	-9	-27	-11	-13	5	-2	6	5	-1	-19	-4	14	30	0	-9	88	-26	-30	20	83	28	-116	38	73	-100	-50	-48	-36	-15	-75	-46	60	-45	-50	39	84	-64	-62	73	-46	20	-49	81	-24	-78	-12	32	23	65	5	35	-23	-58	-55	-6	36	-14	46	85	24	4	-2	-22	-30	36	-58	-76	-10	-3	-38	-42	16	3	31	83	2	-57	38	41	-32	-32	-36	-15	31	-16	19	-3	-52	-43	-34	17	32	3	14	11	71	-17	-18	-4	-2	5	-26	0	41	-32	12	-8	-5	-17	-18	-3	32	-12	-11	-2	-14	-5	-3	19	8	-4	11	1	-7	-26	-61	-2	-13	44	14	-6	28	53	-17	-18	13	3	-11	-19	24	-18	6	26	-15	15	0	-58	-12	-14	-11	2	33	-8	-11	-28	-5	9	-4	12	2	10	-20	8	20	14	35	-39	-13	-12	-7	59	4
Sensor 4	1	-1	-2	-4	-1	3	0	-1	0	1	1	3	-2	1	0	-3	1	-1	1	0	1	-4	0	-1	1	-3	0	1	-9	-1	1	-3	-8	3	-15	1	3	1	-7	-11	2	11	16	-6	2	-4	13	1	-5	12	28	-6	-20	8	25	-12	-8	-17	6	-39	-22	7	25	-3	-42	30	17	12	-24	31	-29	-13	-15	8	-3	-57	1	-1	4	13	18	10	5	-14	1	2	-3	2	3	35	11	29	-15	-20	-8	14	-29	-25	0	-6	-15	-21	8	8	8	22	-3	-19	6	3	-2	-21	1	-6	6	-6	6	-3	-15	-7	-15	7	10	0	16	3	13	4	5	7	-3	-1	-9	-8	7	-9	7	-10	-6	-10	-12	4	8	-8	2	7	-6	-7	0	-5	-1	0	-1	1	-8	-7	4	6	-14	18	-1	-10	2	13	4	3	-5	14	-6	-8	6	-1	-4	18	-8	-5	3	-32	-4	6	0	-6	6	-3	-10	-16	-3	14	3	-10	8	11	-7	-3	5	3	3	-7	-1	-1	-9	3	-1
Sensor 5	-3	-2	-2	-3	2	1	1	0	-1	-2	0	-1	-2	-1	-1	-2	0	-2	2	9	-10	-4	5	0	2	-8	-8	12	-20	-7	7	-4	-2	37	15	-15	9	14	-40	-58	54	30	-4	26	17	-3	-12	16	-12	33	-40	-24	18	4	-96	10	57	-37	86	-13	-12	-25	24	3	-5	77	-68	38	32	4	-2	-26	15	-21	33	-52	7	-28	8	-60	14	11	23	-48	-9	15	-72	35	2	28	96	44	-38	22	-16	-5	-43	1	19	-17	-30	-11	-59	51	13	18	-1	8	6	-15	65	-47	9	-8	-4	3	-1	-6	-42	6	-1	1	11	21	15	0	21	28	0	4	-3	-20	-24	-7	-15	-37	23	-5	4	-31	-5	25	-5	-9	22	-8	-19	3	-19	-36	5	19	1	-49	-18	9	19	18	-17	30	-1	5	-15	-4	3	15	-3	24	8	-4	42	-5	-15	31	-17	-11	-5	-17	9	-1	-4	-2	-10	-1	-18	11	-14	25	15	-25	19	42	-22	-16	2	-26	-22	-7	-7	-13	6	-22	-4
Sensor 6	0	-2	-2	-2	1	1	2	-1	0	-2	2	0	-3	-1	-2	-1	0	-1	0	6	-2	-8	1	1	-1	-4	-5	-2	2	-3	-1	0	-29	-53	27	10	-14	-17	57	-5	0	-108	52	-45	104	-7	-33	47	-55	-4	32	33	-38	-16	71	22	-65	25	-60	67	19	-21	-10	-1	-44	-12	-33	1	-22	14	-11	12	-11	1	-26	6	16	32	12	-11	18	26	27	20	-42	-16	60	-31	-51	12	-21	-30	-15	31	30	4	-24	-23	-65	-7	-2	35	25	-34	12	-16	20	-22	41	7	18	23	-21	23	3	-38	0	-23	2	14	-39	-7	-25	34	26	9	1	-18	9	44	-61	37	-15	-31	33	-8	13	-39	13	-16	-15	14	-6	-10	5	24	2	-34	2	-15	32	2	-8	10	-22	13	-24	10	-3	-15	0	-19	42	-12	0	-7	-14	4	25	33	18	-13	-17	7	-19	13	28	-20	13	-9	-14	13	-3	-59	44	14	-19	25	-16	-3	-3	-18	-29	20	-35	-12	4	15	8	2	4	41	-4
Sensor 7	-3	0	1	-1	2	0	0	1	-1	-2	0	-1	-4	0	1	-1	-1	-2	1	8	-2	-3	1	-2	-1	-6	6	-3	-2	-3	0	3	-4	-9	7	5	-14	-6	3	-3	15	-19	4	20	-24	-21	-5	7	25	2	34	1	1	29	-12	1	-47	-17	-24	-9	-3	2	17	-12	-5	3	8	7	-7	-19	-16	6	-5	-11	-21	22	13	16	-7	-17	17	10	27	-23	-9	2	2	-33	2	27	9	16	-18	-2	-16	-9	-8	-2	-12	-15	3	2	17	8	2	1	1	9	-25	-9	2	9	-1	-3	4	7	6	-24	3	9	5	-8	-11	0	6	1	1	-8	-3	12	-19	-2	24	-1	14	-27	-1	14	-5	-6	-33	-3	14	2	-3	27	-6	-14	5	-9	1	3	1	8	5	-7	-3	19	-7	-2	-1	-20	7	0	-2	-4	11	-1	-3	29	3	5	-2	-18	-15	-20	8	-4	-23	1	4	-15	11	0	2	13	-31	-3	-9	26	10	20	-8	-6	-1	-16	8	-16	-28	-4	8	34	7
